profile_time,exec_time,algorithm,program,strategy,run,total_time,RC
24562,1694118,gp,fileupload,GI+Ekstazi,11,1718680,0.9508742451825711
24764,2071321,gp,fileupload,GI+Ekstazi,12,2096085,1.1596767532138093
24966,1691883,gp,fileupload,GI+Ekstazi,13,1716849,0.9498612289474784
25382,1992140,gp,fileupload,GI+Ekstazi,14,2017522,1.1162111090425393
24970,2222275,gp,fileupload,GI+Ekstazi,15,2247245,1.2433073016008256
24431,3287506,gp,fileupload,GI+Ekstazi,16,3311937,1.8323571548905142
24995,1554952,gp,fileupload,GI+Ekstazi,17,1579947,0.8741190396429048
24710,2326849,gp,fileupload,GI+Ekstazi,18,2351559,1.3010199043028847
25268,1983284,gp,fileupload,GI+Ekstazi,19,2008552,1.111248380681653
24731,2067557,gp,fileupload,GI+Ekstazi,20,2092288,1.1575760308519045
39276,2171704,gp,fileupload,GI+STARTS,1,2210980,1.223243383651268
40637,1440641,gp,fileupload,GI+STARTS,2,1481278,0.8195295809316153
38599,1474646,gp,fileupload,GI+STARTS,3,1513245,0.8372155940322223
40891,1905301,gp,fileupload,GI+STARTS,4,1946192,1.0767471832920372
38647,1760492,gp,fileupload,GI+STARTS,5,1799139,0.9953888673886505
39095,1628822,gp,fileupload,GI+STARTS,6,1667917,0.9227891861208477
39399,1532942,gp,fileupload,GI+STARTS,7,1572341,0.8699109558176095
42124,1736516,gp,fileupload,GI+STARTS,8,1778640,0.98404762227496
39391,1434100,gp,fileupload,GI+STARTS,9,1473491,0.8152213573255708
39578,1614418,gp,fileupload,GI+STARTS,10,1653996,0.9150872751384737
40017,1644208,gp,fileupload,GI+STARTS,11,1684225,0.9318117250405055
40181,1594868,gp,fileupload,GI+STARTS,12,1635049,0.9046046871503234
38859,1388539,gp,fileupload,GI+STARTS,13,1427398,0.7897200152588683
40593,2103178,gp,fileupload,GI+STARTS,14,2143771,1.186059436002796
39144,1331417,gp,fileupload,GI+STARTS,15,1370561,0.7582744643282461
40377,1750268,gp,fileupload,GI+STARTS,16,1790645,0.9906894900533811
41732,2026610,gp,fileupload,GI+STARTS,17,2068342,1.1443277038363218
40388,1443582,gp,fileupload,GI+STARTS,18,1483970,0.8210189526983384
40005,1840682,gp,fileupload,GI+STARTS,19,1880687,1.0405059880545966
40553,1989333,gp,fileupload,GI+STARTS,20,2029886,1.123051596607087
23291,2281634,gp,fileupload,GI+Random,1,2304925,1.275219249410849
22822,1692572,gp,fileupload,GI+Random,2,1715394,0.9490562378922844
23049,1722981,gp,fileupload,GI+Random,3,1746030,0.9660058639863877
23996,1791892,gp,fileupload,GI+Random,4,1815888,1.0046553932879236
22458,1614037,gp,fileupload,GI+Random,5,1636495,0.9054046988794027
22452,1678927,gp,fileupload,GI+Random,6,1701379,0.9413023206149357
22405,1749063,gp,fileupload,GI+Random,7,1771468,0.9800796526200799
24327,2193542,gp,fileupload,GI+Random,8,2217869,1.2270547811627668
22957,2026291,gp,fileupload,GI+Random,9,2049248,1.1337637868549664
22855,1542136,gp,fileupload,GI+Random,10,1564991,0.8658445061573516
23034,2183118,gp,fileupload,GI+Random,11,2206152,1.2205722518200128
22554,1930025,gp,fileupload,GI+Random,12,1952579,1.0802808450580326
22398,1836723,gp,fileupload,GI+Random,13,1859121,1.0285744161670973
22921,2976493,gp,fileupload,GI+Random,14,2999414,1.659451162077895
23587,1219358,gp,fileupload,GI+Random,15,1242945,0.6876698330570269
22479,2360598,gp,fileupload,GI+Random,16,2383077,1.3184575043562188
22615,1641595,gp,fileupload,GI+Random,17,1664210,0.920738257020089
22455,3545145,gp,fileupload,GI+Random,18,3567600,1.9738048718279964
22645,2137227,gp,fileupload,GI+Random,19,2159872,1.1949674504218182
23621,2464056,gp,fileupload,GI+Random,20,2487677,1.3763283389770307
205478,4763120,gp,imaging,GI,1,4968598,0.7847316052889725
185251,7714341,gp,imaging,GI,2,7899592,1.2476476284231337
182268,5245250,gp,imaging,GI,3,5427518,0.8572126207181168
190862,6956021,gp,imaging,GI,4,7146883,1.1287660964727813
190274,5632839,gp,imaging,GI,5,5823113,0.9196921973299278
184891,8242901,gp,imaging,GI,6,8427792,1.3310706048671195
179316,6483042,gp,imaging,GI,7,6662358,1.0522410725017053
189010,5444801,gp,imaging,GI,8,5633811,0.8897941733109966
186173,13437228,gp,imaging,GI,9,13623401,2.151655927129825
177473,7640577,gp,imaging,GI,10,7818050,1.2347690287540773
179016,5540249,gp,imaging,GI,11,5719265,0.9032906273606831
184575,7200549,gp,imaging,GI,12,7385124,1.1663934598408077
184566,5334427,gp,imaging,GI,13,5518993,0.8716600208889111
179613,4884508,gp,imaging,GI,14,5064121,0.7998183394405417
178275,6291749,gp,imaging,GI,15,6470024,1.0218641797501387
176431,21797032,gp,imaging,GI,16,21973463,3.4704499928848827
179965,6610251,gp,imaging,GI,17,6790216,1.0724347395258915
180818,5492797,gp,imaging,GI,18,5673615,0.8960807468709672
184942,6008212,gp,imaging,GI,19,6193154,0.9781358202498615
186779,4115413,gp,imaging,GI,20,4302192,0.679480616950974
226191,4607715,gp,imaging,GI+Ekstazi,1,4833906,0.7634585883575198
222983,4553688,gp,imaging,GI+Ekstazi,2,4776671,0.7544189933996032
230751,5514555,gp,imaging,GI+Ekstazi,3,5745306,0.9074034969736665
228295,5294363,gp,imaging,GI+Ekstazi,4,5522658,0.8722388645251611
228169,4908639,gp,imaging,GI+Ekstazi,5,5136808,0.811298396026653
226611,5752075,gp,imaging,GI+Ekstazi,6,5978686,0.9442631225747596
226442,4378671,gp,imaging,GI+Ekstazi,7,4605113,0.727323425446598
230923,4770037,gp,imaging,GI+Ekstazi,8,5000960,0.7898428024939711
230359,6580807,gp,imaging,GI+Ekstazi,9,6811166,1.0757435455775792
224340,4992297,gp,imaging,GI+Ekstazi,10,5216637,0.823906447496829
227970,5022651,gp,imaging,GI+Ekstazi,11,5250621,0.8292738205211994
225930,4750469,gp,imaging,GI+Ekstazi,12,4976399,0.7859636814707966
233018,4823265,gp,imaging,GI+Ekstazi,13,5056283,0.7985804195439723
228517,4369096,gp,imaging,GI+Ekstazi,14,4597613,0.7261388886739174
229313,4152356,gp,imaging,GI+Ekstazi,15,4381669,0.692033074161952
225756,16101299,gp,imaging,GI+Ekstazi,16,16327055,2.5786662716104916
228879,4710405,gp,imaging,GI+Ekstazi,17,4939284,0.7801018038283912
237089,4923483,gp,imaging,GI+Ekstazi,18,5160572,0.8150516402754506
236390,4657921,gp,imaging,GI+Ekstazi,19,4894311,0.7729988475246893
226998,4128108,gp,imaging,GI+Ekstazi,20,4355106,0.6878377607895901
315545,4654069,gp,imaging,GI+STARTS,1,4969614,0.7848920705371116
321234,6648339,gp,imaging,GI+STARTS,2,6969573,1.1007620677842482
316790,5632186,gp,imaging,GI+STARTS,3,5948976,0.9395707775725809
319331,6749294,gp,imaging,GI+STARTS,4,7068625,1.1164061659719227
319206,5634097,gp,imaging,GI+STARTS,5,5953303,0.9402541763212995
322783,8066962,gp,imaging,GI+STARTS,6,8389745,1.3250615287884289
308988,5399543,gp,imaging,GI+STARTS,7,5708531,0.9015953183316227
317264,7265570,gp,imaging,GI+STARTS,8,7582834,1.197619428551032
318621,7468584,gp,imaging,GI+STARTS,9,7787205,1.2298974238536329
309010,5830347,gp,imaging,GI+STARTS,10,6139357,0.9696392169485417
300071,5916449,gp,imaging,GI+STARTS,11,6216520,0.9818262050805888
317089,5687847,gp,imaging,GI+STARTS,12,6004936,0.9484090012791417
302758,4754336,gp,imaging,GI+STARTS,13,5057094,0.7987085074536582
303820,4083516,gp,imaging,GI+STARTS,14,4387336,0.6929281101473895
306897,6229923,gp,imaging,GI+STARTS,15,6536820,1.0324138221858683
304047,19743932,gp,imaging,GI+STARTS,16,20047979,3.1663424457904643
293171,7533001,gp,imaging,GI+STARTS,17,7826172,1.2360518031097723
312199,6200859,gp,imaging,GI+STARTS,18,6513058,1.0286608938135435
314554,4484757,gp,imaging,GI+STARTS,19,4799311,0.757994715070735
309361,4499656,gp,imaging,GI+STARTS,20,4809017,0.7595276635928201
200425,1928573,gp,imaging,GI+Random,1,2128998,0.33625018932846085
192558,2034191,gp,imaging,GI+Random,2,2226749,0.3516888098706344
190842,2230489,gp,imaging,GI+Random,3,2421331,0.3824207477775326
193372,1860776,gp,imaging,GI+Random,4,2054148,0.3244285123371084
190086,2716608,gp,imaging,GI+Random,5,2906694,0.45907812399067593
191196,2933742,gp,imaging,GI+Random,6,3124938,0.4935471964462633
186926,1656715,gp,imaging,GI+Random,7,1843641,0.29118140801621833
181769,4749380,gp,imaging,GI+Random,8,4931149,0.7788169762756237
190860,4793599,gp,imaging,GI+Random,9,4984459,0.7872366636558374
182221,2459546,gp,imaging,GI+Random,10,2641767,0.41723602084721545
179452,2212387,gp,imaging,GI+Random,11,2391839,0.3777628333108798
190857,2825911,gp,imaging,GI+Random,12,3016768,0.4764630174194819
179728,2349542,gp,imaging,GI+Random,13,2529270,0.3994684430717155
